ip,Pkey,CHECK
150.70.173.59,70655,#N/A
212.185.77.126,70680,70680
84.155.243.148,70693,70693
178.0.23.146,70701,70701
176.0.68.38,70711,70711
84.161.27.87,70719,70719
87.189.126.251,70733,70733
217.84.234.81,70742,70742
84.153.141.17,70753,70753
95.90.222.109,70763,70763
80.143.228.209,70774,70774
178.10.50.4,70786,70786
89.245.17.85,70797,70797
217.230.130.192,70807,70807
178.27.100.251,70818,70818
91.248.87.19,70828,#N/A
176.199.61.14,70840,70840
213.47.55.233,70851,70851
79.217.254.74,70866,70866
95.90.214.1,70877,70877
31.17.222.94,70888,70888
80.187.99.164,70898,70898
93.223.231.200,70910,70910
80.141.91.66,70925,#N/A
92.77.127.27,70939,70939
87.173.104.235,70953,70953
92.192.70.132,70966,70966
178.197.236.195,70979,70979
212.46.178.47,70992,#N/A
46.142.71.220,71006,71006
46.189.67.121,71016,71016
92.208.227.187,71031,71031
85.181.210.168,71046,#N/A
95.244.87.223,71059,71059
91.57.8.140,71072,71072
5.146.248.146,71084,#N/A
87.142.89.174,71097,71097
95.208.248.255,71110,#N/A
93.231.173.47,71129,#N/A
66.249.81.246,71141,71141
62.96.36.94,71153,71153
151.15.66.25,71163,71163
5.10.53.109,71173,71173
2.206.2.241,71185,71185
87.123.161.51,71196,#N/A
94.220.58.207,71210,71210
188.100.69.71,71221,71221
94.219.24.69,71229,#N/A
149.172.218.165,71239,71239
88.152.90.107,71255,71255
37.24.189.112,71269,71269
2.83.149.78,71288,71288
91.41.25.72,71299,71299
217.85.253.148,71318,71318
94.216.245.38,71336,#N/A
80.137.240.193,71352,71352
95.90.198.27,71362,71362
91.59.11.9,71374,71374
217.88.50.10,71393,71393
217.231.186.23,71405,71405
91.88.57.158,71426,71426
94.216.58.254,71440,71440
217.84.239.61,71453,#N/A
80.135.93.112,71468,71468
95.91.234.171,71487,#N/A
178.25.237.13,71508,71508
37.138.169.174,71525,71525
188.109.142.36,71538,71538
47.71.12.174,71554,71554
80.145.137.113,71575,71575
188.105.245.101,71593,71593
93.215.116.104,71608,71608
82.207.254.208,71634,71634
83.221.70.209,71652,71652
92.194.63.132,71669,71669
91.66.109.206,71694,71694
87.152.186.41,71712,71712
84.180.251.228,71737,71737
93.233.82.31,71751,71751
83.247.81.223,71772,71772
217.240.53.209,71786,71786
77.220.109.154,71808,71808
88.64.27.214,71819,#N/A
91.1.2.210,71827,#N/A
77.182.140.37,71838,71838
89.12.89.123,71846,71846
94.135.241.67,71857,71857
79.251.195.212,71870,71870
95.118.163.226,71881,71881
95.90.193.255,71891,71891
79.206.246.79,71902,71902
84.182.142.151,71915,71915
87.158.11.189,71923,#N/A
193.47.161.114,71936,71936
95.90.203.208,71951,71951
213.55.184.141,71961,71961
188.108.243.166,71975,71975
145.62.80.97,71992,71992
217.7.16.234,72004,72004
91.248.111.164,72022,72022
150.70.173.55,72035,72035
80.187.97.5,72054,72054
80.152.207.37,72065,72065
150.70.173.7,72078,72078
84.189.192.11,72092,72092
80.128.20.250,72102,72102
95.210.109.164,72118,72118
217.187.237.20,72130,#N/A
217.194.68.173,72145,72145
94.219.29.7,72155,72155
91.19.208.33,72178,72178
95.91.227.184,72187,72187
37.24.151.30,72206,#N/A
86.56.8.66,72222,72222
84.179.204.184,72234,#N/A
78.53.15.31,72247,72247
84.44.132.245,72259,#N/A
46.237.223.238,72274,72274
84.191.68.116,72293,72293
193.16.163.243,72310,72310
80.131.214.53,72321,72321
194.96.234.83,72332,72332
2.242.252.118,72354,72354
2.246.156.198,72374,72374
87.180.93.173,72395,72395
87.150.66.252,72411,72411
87.164.8.38,72423,72423
217.244.126.64,72439,72439
88.152.186.210,72456,72456
82.113.98.43,72475,72475
87.166.45.77,72484,72484
80.143.78.97,72495,72495
84.150.89.32,72503,72503
37.201.213.197,72513,72513
217.251.89.76,72521,72521
95.91.206.73,72531,72531
66.249.81.138,72541,72541
80.146.11.212,72549,72549
80.187.98.8,72561,72561
91.89.90.47,72571,72571
89.204.138.220,72581,72581
91.63.9.10,72592,72592
88.71.49.129,72601,72601
83.65.79.35,72610,72610
84.161.69.202,72622,#N/A
84.191.194.213,72631,72631
66.249.81.210,72643,72643
79.234.228.186,72656,72656
93.200.105.164,72668,72668
94.217.236.18,72681,72681
87.172.196.192,72694,72694
95.90.231.184,72706,72706
79.247.173.187,72716,72716
37.24.153.177,72729,#N/A
79.240.88.210,72744,72744
31.18.73.78,72759,72759
95.90.206.82,72772,72772
79.252.71.10,72793,#N/A
92.192.120.185,72807,72807
89.204.153.146,72821,72821
188.109.23.184,72836,72836
93.239.255.42,72857,72857
46.5.0.45,72869,72869
178.12.146.219,72883,#N/A
79.240.75.202,72897,72897
79.213.214.60,72917,72917
79.198.199.227,72935,72935
178.12.113.133,72957,72957
217.228.184.136,72972,72972
84.162.73.110,72982,72982
80.187.104.67,72997,72997
146.60.47.97,73009,73009
79.243.142.80,73018,73018
85.16.46.200,73033,73033
87.171.5.77,73052,#N/A
109.91.35.171,73075,73075
46.5.153.156,73095,73095
37.201.7.208,73121,73121
78.43.121.146,73136,73136
176.0.104.149,73150,73150
47.70.252.119,73178,73178
80.129.251.114,73198,#N/A
217.92.89.241,73221,73221
37.49.42.191,73243,73243
176.4.100.239,73270,73270
87.159.50.160,73285,73285
84.153.175.86,73300,73300
46.234.230.118,73323,73323
87.187.240.135,73337,73337
91.42.46.71,73348,73348
80.187.99.136,73357,73357
93.132.36.135,73366,#N/A
92.252.35.184,73375,73375
79.219.15.84,73383,73383
84.154.117.4,73394,73394
77.64.252.71,73404,73404
62.143.127.59,73415,73415
217.83.172.92,73428,73428
87.155.42.246,73439,#N/A
84.139.8.176,73450,73450
95.90.198.107,73460,73460
78.50.33.139,73474,73474
79.192.145.59,73483,73483
79.236.219.74,73494,73494
77.119.131.68,73506,73506
87.157.51.152,73516,73516
82.113.98.16,73528,73528
109.45.2.221,73541,73541
78.49.106.213,73554,73554
93.231.147.206,73563,#N/A
87.184.218.17,73577,73577
93.200.131.50,73588,#N/A
84.161.119.146,73601,73601
95.91.243.175,73612,73612
217.88.235.88,73624,73624
109.45.0.67,73637,73637
77.9.234.175,73645,73645
77.47.87.60,73662,73662
79.195.93.108,73674,73674
188.107.0.73,73688,73688
91.35.129.169,73705,73705
84.136.253.148,73719,73719
217.249.129.110,73729,73729
24.134.118.18,73740,73740
93.218.235.118,73757,73757
87.153.106.47,73776,73776
150.70.173.52,73792,73792
217.50.32.3,73815,73815
95.91.235.254,73825,73825
87.166.102.46,73836,73836
84.46.61.194,73848,73848
95.91.233.64,73860,73860
84.163.107.16,73873,73873
79.218.105.144,73886,73886
92.73.83.132,73903,73903
150.70.173.5,73921,73921
178.27.183.16,73939,73939
77.58.176.59,73955,73955
87.156.95.11,73973,73973
79.212.122.118,73985,73985
89.12.206.21,73999,73999
178.10.105.148,74009,#N/A
87.165.141.249,74024,74024
88.153.28.92,74040,74040
85.177.234.164,74060,74060
95.89.1.239,74081,74081
109.90.36.66,74098,74098
84.62.2.31,74114,#N/A
91.6.190.67,74122,74122
87.147.20.105,74147,74147
176.198.149.133,74164,74164
87.133.35.47,74188,74188
217.235.81.48,74204,74204
188.110.58.193,74236,74236
92.72.191.5,74258,74258
87.142.187.172,74271,74271
80.196.22.230,74284,74284
178.26.40.22,74297,74297
84.186.167.98,74314,74314
87.185.253.47,74340,74340
46.5.16.84,74369,74369
91.59.226.54,74386,74386
95.90.223.67,74413,74413
185.29.170.128,74432,74432
37.201.241.252,74452,74452
37.201.192.162,74464,74464
95.90.194.238,74474,74474
80.138.8.211,74502,74502
88.64.116.57,74516,74516
91.38.77.150,74542,74542
91.41.29.144,74555,74555
84.57.38.174,74578,74578
78.50.81.212,74600,74600
88.152.254.73,74617,74617
95.90.250.105,74639,74639
84.166.96.131,74653,74653
5.129.238.1,74686,74686
217.237.92.144,74707,74707
88.153.28.92,74735,#N/A
91.14.83.254,74753,74753
88.64.149.42,74765,74765
78.51.100.197,74773,74773
80.187.99.31,74785,74785
95.91.207.173,74793,74793
91.67.21.213,74803,74803
93.218.191.215,74813,74813
80.130.84.126,74828,74828
93.133.147.186,74839,#N/A
2.246.54.29,74849,74849
87.141.127.72,74861,74861
85.158.137.195,74871,74871
88.74.204.124,74883,#N/A
95.91.235.168,74896,74896
194.76.64.12,74907,74907
94.114.179.109,74918,74918
79.217.106.103,74930,74930
178.26.114.114,74941,74941
87.152.16.154,74954,74954
91.38.151.77,74970,74970
149.172.254.57,74984,74984
188.210.58.121,74998,74998
145.253.185.59,75011,75011
87.139.167.25,75020,75020
80.187.109.120,75040,75040
95.90.198.58,75051,75051
91.37.217.40,75065,75065
37.201.194.131,75078,#N/A
159.253.115.73,75092,75092
178.24.5.65,75104,#N/A
80.219.188.231,75124,75124
37.209.72.58,75137,75137
62.157.72.81,75155,75155
91.67.193.192,75169,75169
94.134.174.102,75184,75184
178.201.46.137,75200,75200
87.167.61.205,75211,75211
79.249.224.72,75229,#N/A
217.51.115.23,75251,#N/A
84.166.112.141,75269,75269
87.133.94.151,75283,75283
87.145.113.140,75299,75299
91.47.90.115,75314,75314
79.231.228.220,75330,75330
79.223.118.163,75345,#N/A
109.45.3.218,75362,75362
92.77.126.158,75381,75381
77.176.25.253,75391,75391
93.221.5.170,75407,75407
91.65.221.46,75429,#N/A
109.75.81.188,75437,75437
93.197.240.85,75448,75448
31.150.204.10,75459,75459
95.90.226.223,75467,75467
109.45.1.89,75475,75475
134.3.243.224,75489,75489
88.153.6.136,75498,75498
94.219.156.44,75507,#N/A
109.245.135.103,75517,75517
95.90.236.82,75526,75526
37.81.206.40,75535,75535
37.10.78.82,75550,75550
79.195.157.157,75561,75561
176.4.34.244,75570,75570
2.171.164.167,75581,75581
79.195.14.81,75592,#N/A
176.94.78.109,75601,75601
84.148.203.231,75613,75613
176.199.121.95,75622,75622
80.187.109.50,75634,75634
109.47.192.76,75643,75643
109.75.92.10,75654,75654
89.15.239.162,75663,#N/A
188.210.63.3,75677,75677
37.201.213.17,75687,75687
109.43.1.244,75702,75702
87.240.202.237,75713,75713
145.253.166.252,75722,75722
84.164.73.42,75730,#N/A
84.63.92.5,75744,75744
93.217.158.65,75759,75759
79.216.19.78,75773,75773
87.157.246.172,75785,75785
78.53.219.250,75801,75801
195.14.245.76,75813,75813
79.226.177.226,75831,75831
79.239.219.152,75848,75848
93.232.219.14,75859,75859
109.84.0.199,75877,75877
217.245.252.246,75885,75885
95.222.242.2,75901,75901
46.5.253.43,75917,75917
46.201.46.185,75932,75932
88.153.145.44,75950,75950
46.5.16.103,75965,75965
217.94.113.172,75977,75977
84.58.139.227,75988,75988
82.113.98.114,76003,76003
176.2.69.71,76020,76020
178.165.131.231,76041,76041
91.89.129.78,76062,76062
37.138.184.75,76075,76075
91.43.142.167,76091,76091
91.0.178.145,76104,76104
84.158.108.136,76128,76128
91.58.84.28,76147,76147
91.96.207.111,76161,76161
95.90.223.212,76196,76196
2.241.62.99,76211,76211
92.211.91.197,76221,76221
91.112.110.254,76237,76237
91.52.14.44,76258,#N/A
84.130.122.150,76275,76275
87.154.10.224,76294,76294
93.159.121.168,76320,76320
95.90.201.221,76341,76341
134.3.39.176,76357,76357
150.70.173.49,76373,76373
178.7.240.30,76393,76393
95.90.231.178,76416,76416
91.58.0.57,76425,76425
217.224.150.243,76433,76433
84.144.145.85,76442,#N/A
88.66.216.86,76452,76452
109.47.2.50,76462,76462
83.77.83.64,76472,76472
84.150.252.114,76481,76481
62.225.123.194,76491,76491
150.70.173.52,76499,#N/A
95.90.198.103,76510,76510
80.153.58.135,76520,76520
77.162.209.58,76529,76529
94.160.219.236,76537,76537
80.132.10.138,76552,76552
95.223.164.17,76565,76565
84.175.88.137,76574,76574
178.201.37.246,76589,76589
109.47.1.49,76597,76597
131.246.194.54,76608,76608
91.96.0.27,76618,76618
93.201.36.253,76631,76631
80.187.96.157,76643,76643
91.89.90.95,76661,#N/A
91.48.125.204,76674,76674
84.227.248.135,76685,76685
77.235.178.3,76700,76700
94.219.76.45,76711,76711
2.162.204.24,76724,#N/A
84.140.222.38,76738,76738
185.82.160.20,76749,76749
88.128.81.90,76759,#N/A
88.153.7.121,76770,76770
87.168.95.14,76785,76785
80.187.110.251,76797,76797
92.208.150.235,76812,76812
66.102.9.88,76825,76825
80.187.98.155,76837,76837
88.64.62.190,76848,76848
91.47.66.39,76864,76864
188.109.8.144,76879,76879
176.4.32.7,76895,76895
46.223.163.200,76906,76906
79.227.23.16,76921,76921
95.222.27.142,76934,76934
93.212.228.136,76948,#N/A
178.12.206.56,76964,76964
93.128.163.232,76976,#N/A
87.133.116.217,76986,76986
90.186.0.149,77001,77001
141.6.11.24,77020,77020
217.86.199.185,77043,77043
213.162.146.54,77066,#N/A
87.145.193.209,77084,77084
37.201.192.166,77100,77100
217.249.210.159,77111,77111
109.91.117.143,77128,77128
87.138.160.107,77145,77145
77.20.21.143,77164,77164
195.14.213.170,77180,77180
79.220.72.242,77192,77192
2.206.3.168,77215,#N/A
77.21.105.147,77225,77225
109.42.2.130,77235,77235
80.135.25.246,77251,77251
89.204.135.178,77279,77279
89.204.135.76,77292,77292
93.134.238.231,77311,77311
94.229.148.127,77320,77320
193.47.161.112,77329,77329
2.161.50.82,77338,77338
164.40.201.104,77347,77347
62.224.42.185,77357,77357
178.27.132.221,77367,77367
87.176.103.87,77377,77377
88.68.54.201,77390,77390
80.152.137.2,77398,77398
178.7.180.10,77406,77406
37.201.242.14,77418,77418
80.187.109.50,77431,#N/A
84.191.28.200,77443,77443
80.152.146.114,77453,77453
194.15.16.60,77463,77463
213.252.138.107,77476,77476
95.90.227.47,77491,77491
176.198.123.97,77509,77509
212.60.213.202,77518,77518
95.114.255.145,77526,77526
84.56.238.147,77536,77536
93.200.114.178,77553,77553
79.227.103.213,77571,77571
109.42.2.214,77581,77581
79.192.225.69,77592,77592
91.42.153.249,77605,77605
217.247.6.244,77623,77623
87.139.188.226,77636,#N/A
31.18.163.241,77647,#N/A
84.137.65.138,77660,77660
217.226.223.108,77675,77675
212.185.40.166,77687,#N/A
84.159.104.225,77700,77700
87.189.248.164,77715,77715
87.245.23.46,77727,77727
92.77.53.243,77746,77746
178.12.214.54,77755,77755
109.91.39.210,77776,77776
109.91.104.165,77801,77801
84.149.195.6,77814,#N/A
83.135.50.119,77827,77827
79.231.187.210,77840,77840
87.177.135.111,77859,77859
87.79.63.51,77870,77870
84.172.162.92,77891,77891
78.132.16.203,77906,77906
95.88.47.74,77926,77926
79.255.175.205,77943,77943
77.87.228.65,77959,77959
178.12.197.20,77982,77982
80.145.237.15,78002,78002
91.33.145.190,78024,78024
91.16.221.174,78050,78050
87.139.137.163,78068,78068
87.78.206.53,78096,78096
150.70.173.8,78117,78117
80.134.111.244,78139,78139
79.230.29.227,78157,78157
109.47.2.220,78175,78175
91.40.87.224,78195,78195
84.63.16.164,78212,78212
93.235.81.231,78223,78223
92.72.86.4,78232,78232
37.201.180.234,78241,#N/A
93.236.104.151,78249,78249
91.21.7.194,78258,78258
91.10.215.128,78268,78268
89.15.53.97,78277,78277
92.226.18.229,78285,78285
178.5.215.62,78293,78293
185.69.203.11,78303,78303
95.90.242.225,78314,78314
150.70.173.56,78327,78327
77.47.29.116,78336,78336
92.209.47.202,78346,78346
80.129.110.87,78355,78355
176.4.34.149,78366,78366
46.5.18.19,78381,78381
84.144.81.141,78390,78390
89.0.60.46,78399,78399
213.146.225.228,78412,78412
88.217.180.103,78421,78421
84.118.181.72,78432,78432
87.152.55.74,78442,78442
217.241.19.5,78452,78452
77.177.18.147,78467,#N/A
84.180.20.94,78477,78477
77.10.73.245,78492,78492
188.100.135.19,78504,#N/A
93.218.162.104,78513,78513
50.181.86.211,78524,78524
80.187.104.177,78535,78535
5.146.225.58,78546,78546
80.187.103.46,78557,78557
84.148.218.184,78567,78567
178.203.66.198,78579,78579
176.4.34.149,78595,#N/A
87.163.248.55,78611,78611
87.167.156.173,78622,78622
109.42.2.0,78632,78632
89.233.71.202,78641,78641
79.192.79.86,78663,#N/A
212.86.179.24,78674,78674
91.33.141.120,78688,78688
88.75.90.100,78704,78704
46.5.254.75,78712,78712
176.2.69.11,78726,78726
84.175.226.105,78746,78746
93.194.52.143,78759,78759
217.227.235.5,78773,78773
91.42.172.126,78789,78789
92.206.57.65,78803,78803
80.187.105.3,78820,78820
77.7.159.231,78832,78832
188.23.29.38,78848,78848
92.217.154.130,78864,78864
93.132.126.114,78893,78893
194.118.251.193,78919,78919
77.4.64.224,78933,78933
95.90.205.198,78948,#N/A
95.90.235.84,78960,78960
77.58.119.213,78979,78979
31.16.143.16,78990,78990
84.167.105.216,79001,79001
84.185.138.41,79011,79011
80.187.111.70,79030,79030
94.217.50.192,79051,79051
178.162.199.39,79074,79074
87.134.121.137,79091,79091
79.241.235.8,79106,79106
90.186.0.107,79122,79122
37.201.228.119,79141,79141
95.91.219.60,79155,79155
92.76.248.91,79174,#N/A
82.135.72.103,79200,#N/A
37.201.195.111,79211,79211
80.144.4.239,79219,#N/A
141.54.153.2,79230,79230
79.226.124.138,79240,#N/A
93.195.189.191,79251,79251
88.70.66.65,79260,#N/A
89.204.130.238,79270,79270
2.171.17.45,79281,79281
212.252.20.33,79291,79291
82.113.106.9,79305,79305
92.203.253.75,79314,79314
80.187.100.96,79322,79322
79.254.229.185,79335,79335
84.145.208.192,79347,79347
80.138.218.204,79359,79359
134.3.121.9,79371,79371
188.110.174.52,79386,79386
87.181.176.239,79394,#N/A
217.235.141.188,79404,79404
188.103.15.128,79414,79414
217.234.157.93,79426,79426
84.148.111.200,79443,79443
46.5.18.94,79454,79454
88.152.117.91,79468,79468
46.5.19.96,79480,79480
31.19.171.248,79492,79492
88.152.185.83,79504,79504
77.9.96.92,79519,79519
94.114.243.144,79536,79536
94.134.205.121,79547,79547
217.88.214.222,79557,79557
93.219.245.77,79577,79577
84.144.157.174,79586,79586
176.199.146.214,79597,79597
176.4.28.96,79614,#N/A
85.181.68.231,79627,79627
87.162.83.40,79641,79641
217.245.71.177,79662,79662
185.22.142.33,79681,79681
89.182.10.161,79708,79708
46.5.39.9,79725,79725
62.155.164.96,79751,#N/A
95.91.206.205,79760,79760
83.216.238.193,79781,79781
79.209.239.140,79798,79798
91.65.156.146,79818,79818
93.228.177.184,79839,79839
88.76.160.32,79856,79856
95.91.200.172,79869,79869
46.223.41.200,79883,79883
178.26.204.110,79902,79902
82.210.233.219,79911,79911
37.24.140.86,79920,79920
91.221.58.205,79931,79931
109.42.0.26,79941,#N/A
95.91.230.250,79950,79950
62.245.250.131,79961,79961
91.114.40.146,79969,79969
84.130.75.228,79978,#N/A
95.90.215.34,79986,79986
83.236.230.58,79998,79998
94.16.0.19,80009,80009
2.243.250.233,80017,80017
188.193.36.159,80028,80028
109.42.3.132,80045,80045
150.70.173.9,80061,80061
31.150.220.95,80073,80073
188.104.134.61,80094,80094
150.70.173.8,80108,#N/A
212.95.7.116,80118,80118
84.184.9.233,80128,80128
85.216.60.207,80145,80145
88.152.96.138,80156,80156
93.216.203.179,80169,#N/A
77.11.126.168,80184,80184
213.162.68.75,80202,80202
93.204.101.203,80221,80221
85.176.193.60,80233,80233
5.158.130.109,80253,80253
91.45.44.76,80267,80267
95.90.186.172,80282,80282
88.70.9.249,80298,80298
79.213.193.106,80310,#N/A
212.202.103.38,80332,80332
91.44.238.168,80342,80342
78.54.215.140,80355,80355
91.14.44.11,80371,80371
193.225.104.130,80388,80388
95.91.217.135,80404,#N/A
2.200.42.90,80414,80414
2.206.1.45,80445,80445
95.208.235.64,80462,80462
95.91.232.28,80474,80474
217.249.223.119,80490,80490
37.201.192.147,80514,80514
62.157.245.100,80531,80531
78.35.220.241,80545,80545
89.204.138.27,80561,80561
91.51.158.193,80579,80579
87.172.7.197,80608,80608
217.254.186.219,80622,80622
95.90.234.174,80634,#N/A
79.238.45.223,80642,80642
62.225.206.208,80651,#N/A
93.130.146.30,80662,80662
95.222.26.92,80672,80672
217.238.136.13,80689,80689
87.180.69.185,80705,80705
80.171.156.109,80713,80713
212.185.43.193,80722,80722
213.178.173.83,80731,#N/A
37.201.215.91,80741,80741
88.69.49.229,80750,80750
93.134.10.157,80761,#N/A
77.7.89.115,80773,80773
87.138.130.36,80784,80784
176.0.27.72,80793,80793
80.130.102.24,80802,80802
103.57.95.238,80815,80815
178.12.170.238,80829,80829
88.153.69.66,80844,80844
85.182.194.114,80855,80855
91.97.185.223,80864,80864
82.83.223.40,80875,80875
93.193.168.247,80884,80884
178.15.143.142,80897,80897
91.224.226.196,80906,80906
149.211.153.48,80915,80915
176.4.57.227,80925,#N/A
178.1.253.91,80934,80934
188.118.174.245,80948,80948
93.216.78.198,80958,80958
87.123.208.252,80971,80971
80.141.82.87,80985,80985
79.250.224.141,80998,80998
84.181.224.148,81009,81009
31.160.127.105,81018,81018
92.201.96.95,81026,81026
89.204.138.4,81036,81036
62.47.249.105,81049,81049
217.85.71.39,81059,81059
79.199.81.233,81072,81072
95.223.21.32,81085,81085
194.94.76.249,81102,81102
91.61.237.187,81120,81120
87.123.29.78,81135,81135
80.144.61.253,81152,81152
80.140.93.91,81162,81162
84.63.96.183,81172,81172
194.208.67.178,81185,81185
188.105.132.3,81194,81194
82.83.252.180,81210,81210
95.90.186.190,81229,81229
66.249.93.34,81240,81240
83.243.48.54,81263,81263
193.81.60.14,81279,81279
79.245.67.196,81288,81288
91.37.13.143,81298,81298
89.204.154.50,81317,81317
82.113.121.186,81329,81329
79.240.18.169,81345,81345
130.75.174.48,81362,81362
80.139.121.228,81374,81374
31.18.229.65,81388,81388
80.133.239.182,81398,81398
93.229.231.25,81416,81416
89.15.239.154,81427,#N/A
150.70.188.181,81441,81441
37.49.126.31,81457,81457
37.49.126.31,81472,#N/A
185.40.63.24,81482,81482
176.2.57.210,81499,81499
95.222.28.183,81509,81509
217.253.142.62,81530,81530
178.6.230.222,81539,81539
109.193.183.115,81548,81548
185.40.63.99,81558,81558
31.16.184.119,81568,81568
84.56.131.62,81578,81578
87.168.126.38,81587,81587
37.24.117.231,81604,81604
84.136.243.126,81612,#N/A
2.206.2.71,81622,81622
87.168.217.251,81630,81630
78.51.106.105,81640,81640
80.187.103.78,81653,81653
93.192.187.81,81664,#N/A
109.47.192.111,81673,81673
109.43.1.20,81685,81685
185.17.205.98,81699,81699
84.168.126.252,81712,81712
88.207.136.74,81724,81724
93.235.62.163,81735,#N/A
92.252.10.217,81743,81743
217.81.1.147,81754,81754
47.60.33.214,81767,#N/A
95.90.211.169,81778,81778
95.90.221.184,81796,#N/A
188.96.170.57,81810,81810
82.118.4.72,81822,81822
31.16.178.77,81834,81834
89.144.198.85,81847,81847
84.115.214.70,81858,81858
92.73.161.34,81867,81867
91.6.143.187,81882,81882
91.114.178.201,81895,81895
95.208.248.225,81911,81911
84.60.99.40,81927,81927
77.20.203.133,81944,#N/A
91.35.150.141,81956,81956
188.194.152.151,81979,81979
84.143.242.165,81995,81995
88.78.201.65,82005,82005
77.48.61.252,82018,82018
79.215.128.236,82043,82043
79.221.25.72,82062,82062
178.26.114.240,82077,82077
62.159.32.69,82093,82093
78.35.70.61,82113,82113
85.181.125.114,82134,82134
95.90.230.205,82147,82147
92.78.156.46,82165,82165
109.193.170.73,82176,82176
95.90.221.173,82190,82190
78.43.36.205,82206,82206
82.83.109.192,82218,82218
92.76.114.151,82242,82242
80.142.204.77,82269,82269
78.54.232.242,82292,82292
84.190.150.67,82305,82305
85.177.74.205,82330,82330
217.92.55.212,82363,82363
90.26.116.142,82381,82381
87.79.236.19,82398,82398
94.114.96.39,82413,82413
87.165.159.211,82433,82433
37.201.243.181,82454,82454
80.138.92.249,82466,82466
93.236.46.190,82497,82497
77.182.179.41,82516,82516
77.4.74.152,82540,82540
91.32.98.17,82564,82564
87.166.45.77,82584,#N/A
217.251.2.101,82605,82605
